ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,prev_price,prev_vol,prev_vwap,comparison_price_pass,comparison_vol_pass,comparison_vwap_pass,comparison_3of3_pass_count,comparison_3of3_failed_subconditions
2026-04-05 00:20:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,26.77,29.04,0.922,67441.310528,67074.0,,2026-04-05 00:20:00,,,,,2026-04-05.jsonl,True,1228.2258299999594,633.7258300000249,5.939830000002985,65.0,117.5,367.3105280000018,367.3105280000018,above,67451.71266,46.115700000000004,67066,False,False,True,1,price|vol
2026-04-05 00:45:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,56.86,59.51,0.956,67425.301849,67085.0,,2026-04-05 00:45:00,,,,,2026-04-05.jsonl,True,1188.5681399999376,600.1601400000072,239.79813999999897,37.0,173.1999999999971,340.30184899999585,340.30184899999585,above,67441.310528,29.04393,67074,False,True,True,2,price
2026-04-05 00:46:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-49.7,51.92,0.957,67433.977534,67087.0,,2026-04-05 00:46:00,,,,,2026-04-05.jsonl,True,1143.9249499999423,536.7109500000079,43.3009499999971,-18.0,156.89999999999418,346.9775340000051,346.9775340000051,above,,,,,,,,
2026-04-05 01:10:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,61.37,65.99,0.93,67359.782898,67093.0,,2026-04-05 01:10:00,,,,,2026-04-05.jsonl,True,1225.1230799999357,164.4230800000114,149.06796999999642,12.0,19.0,266.78289800000493,266.78289800000493,above,,,,,,,,
2026-04-05 01:11:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-57.25,62.48,0.916,67374.056978,67095.0,,2026-04-05 01:11:00,,,,,2026-04-05.jsonl,True,1144.463629999933,103.28163000001223,91.50938999999562,-18.0,12.0,279.05697799999325,279.05697799999325,above,,,,,,,,
2026-04-05 01:46:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-76.05,77.93,0.976,67299.605467,67106.0,,2026-04-05 01:46:00,,,,,2026-04-05.jsonl,True,1389.523769999927,-45.464230000005045,-70.70836999999301,-36.0,-126.0,193.60546700000123,193.60546700000123,above,,,,,,,,
2026-04-05 07:20:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-31.97,48.36,0.661,67132.459132,67155.0,,2026-04-05 07:20:00,,,,,2026-04-05.jsonl,True,835.9868899999419,-22.262650000000576,-44.44093000000066,1.0,9.0,-22.540867999996408,22.540867999996408,below,67299.605467,77.92641,67106,True,False,False,1,vol|vwap
2026-04-05 07:57:00,2026-04-05,CANDIDATE_GATE_REJECT,short,imb_band,,,0.879,,,,2026-04-05 07:57:00,,,,,2026-04-05.jsonl,True,576.9484599999632,-130.18950999999288,-126.22342000000208,-148.0,-185.0,,,at_or_unknown,,,,,,,,
2026-04-05 08:41:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,48.73,67.01,0.727,66827.00019,67144.0,,2026-04-05 08:41:00,,,,,2026-04-05.jsonl,True,449.38896999996723,-181.21867000000202,-141.40077000001475,76.0,-249.0,-316.9998099999939,316.9998099999939,below,,,,,,,,
2026-04-05 09:01:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,vwap_side,85.78,93.56,0.917,66828.401164,67138.0,,2026-04-05 09:01:00,,,,,2026-04-05.jsonl,True,703.0681599999843,-127.78994000000239,-5.325470000003406,25.0,-91.0,-309.59883600000467,309.59883600000467,below,,,,,,,,
